type,color,price,sells,month
blouse,green,62.2,40,3
blouse,yellow,79.04,19,9
blouse,yellow,78.51,38,4
blouse,white,65.42,28,2
blouse,beige,49.28,55,4
blouse,blue,72.23,46,4
blouse,green,48.87,17,1
blouse,flower,21.2,49,12
blouse,flower,52.63,58,5
blouse,red,32.99,59,5
blouse,grey,39.67,32,2
blouse,red,41.47,92,10
blouse,brown,49.85,31,5
blouse,flower,26.37,51,5
blouse,green,71.3,20,11
blouse,brown,46.07,44,6
blouse,pink,49.38,83,5
blouse,pink,36.64,26,1
blouse,blue,26.03,75,3
blouse,red,61.65,20,7
blouse,red,75.94,7,7
blouse,green,62.7,7,2
blouse,black,24.08,26,6
blouse,yellow,31.82,38,8
blouse,blue,48.16,30,12
blouse,yellow,44.51,21,8
blouse,beige,51.84,1,12
blouse,blue,65.91,48,9
blouse,pink,62.15,57,11
blouse,white,34.35,36,7
blouse,beige,20.25,53,8
blouse,brown,57.34,19,1
blouse,white,29.88,119,3
blouse,black,57.29,82,11
blouse,beige,27.94,49,11
blouse,flower,26.53,47,2
blouse,pink,67.2,42,10
blouse,green,65.3,59,5
blouse,white,39.4,38,2
blouse,white,32.32,95,4
blouse,red,75.41,44,9
blouse,blue,60.65,81,10
blouse,flower,74.38,22,2
blouse,blue,75.58,34,9
blouse,blue,34.5,70,4
blouse,brown,56.2,67,5
blouse,red,48.73,31,7
blouse,brown,64.33,25,6
blouse,grey,37.33,75,11
blouse,pink,79.78,8,7
blouse,red,39.81,100,5
blouse,green,67.23,26,7
blouse,grey,20.29,5,8
blouse,green,46.89,52,5
blouse,grey,49.27,60,10
blouse,blue,72.89,12,6
blouse,blue,36.52,42,3
blouse,pink,77.24,32,11
blouse,pink,62.49,6,6
blouse,blue,65.49,39,11
blouse,pink,67.73,32,9
blouse,yellow,54.63,60,11
blouse,grey,36.46,15,6
blouse,red,56.15,30,5
blouse,blue,33.4,68,5
blouse,brown,29.88,57,10
blouse,flower,47.06,92,4
blouse,flower,38.7,23,8
blouse,brown,45.2,22,8
blouse,grey,64.77,26,9
blouse,black,24.96,25,1
blouse,green,58.54,11,8
blouse,grey,67.57,70,9
blouse,red,28.67,48,4
blouse,black,62.7,34,3
blouse,white,74.78,30,4
blouse,brown,56.07,24,6
blouse,green,69.42,5,12
blouse,green,46.01,33,12
blouse,red,29.1,49,2
blouse,yellow,72.8,4,6
blouse,red,24.78,62,12
blouse,pink,70.55,27,1
blouse,beige,35.24,44,3
blouse,green,39.83,19,6
