type,color,price,sells,month
t-shirt,white,19.95,60,8
t-shirt,black,19.95,78,8
t-shirt,green,19.95,66,8
t-shirt,blue,19.95,52,8
shirt,button-up blue,24.95,106,8
shirt,button-up white,24.95,130,8
shirt,button-up yellow,24.95,67,8
shirt,flare button-up white,24.95,88,8
jeans,blue,89.95,50,8
jeans,black cargo,99.95,45,8
jeans,green cargo,99.95,37,8
pants,beige,79.95,43,8
pants,white,79.95,27,8
pants,green,79.95,38,8
pants,brown,79.95,26,8
sneakers,addias black,114.95,30,8
sneakers,blue,109.95,15,8
sneakers,red,119.95,19,8
sneakers,black and white,109.95,32,8
skirt,mini pink,59.95,66,8
skirt,long red,69.95,45,8
skirt,black,24.95,78,8
skirt,mini white,24.95,55,8
shorts,green cargo,59.95,60,8
shorts,blue jorts,64.95,55,8
shorts,black jorts,64.95,75,8
shorts,mini white,54.95,88,8
jacket,black lether,89.95,6,8
jacket,brown lether,89.95,4,8
jacket,light-brown ,74.95,10,8
jacket,red lether,89.95,3,8
crop-top,floral,24.95,89,8
crop-top,print,24.95,77,8
crop-top,white floral,24.95,102,8
crop-top,black print,24.95,60,8
